Manufacturer,Origin,Horsepower,Cylinders
Acura,non-USA,140,4
Acura,non-USA,200,6
Audi,non-USA,172,6
Audi,non-USA,172,6
BMW,non-USA,208,4
Buick,USA,110,4
Buick,USA,170,6
Buick,USA,180,6
Buick,USA,170,6
Cadillac,USA,200,8
Cadillac,USA,295,8
Chevrolet,USA,110,4
Chevrolet,USA,110,4
Chevrolet,USA,160,6
Chevrolet,USA,110,4
Chevrolet,USA,170,8
Chrylser,USA,153,6
Chrysler,USA,141,4
Chrysler,USA,147,6
Dodge,USA,92,4
Dodge,USA,93,4
Dodge,USA,100,4
Dodge,USA,100,4
Dodge,USA,300,6
Eagle,USA,92,4
Eagle,USA,214,6
Ford,USA,63,4
Ford,USA,127,4
Ford,USA,96,4
Ford,USA,105,4
Ford,USA,115,4
Ford,USA,140,6
Ford,USA,190,8
Geo,non-USA,55,3
Geo,non-USA,90,4
Honda,non-USA,160,4
Honda,non-USA,102,4
Honda,non-USA,140,4
Hyundai,non-USA,81,4
Hyundai,non-USA,124,4
Hyundai,non-USA,92,4
Hyundai,non-USA,128,4
Infiniti,non-USA,278,4
Lexus,non-USA,185,4
Lexus,non-USA,225,8
Lincoln,USA,160,6
Lincoln,USA,210,6
Mazda,USA,82,6
Mazda,USA,103,4
Mazda,non-USA,164,4
Mercedes-Benz,non-USA,130,6
Mercedes-Benz,non-USA,217,4
Mercury,USA,100,6
Mercury,USA,140,4
Mitsubishi,non-USA,92,6
Mitsubishi,non-USA,202,4
Nissan,non-USA,110,4
Nissan,non-USA,150,6
Nissan,non-USA,160,4
Oldsmobile,non-USA,155,4
Oldsmobile,non-USA,110,6
Oldsmobile,USA,170,4
Plymouth,USA,92,4
Pontiac,USA,74,4
Pontiac,USA,110,4
Pontiac,USA,160,6
Pontiac,USA,200,6
Pontiac,USA,170,6
Saab,non-USA,140,4
Saturn,USA,85,4
Subaru,non-USA,73,3
Subaru,non-USA,90,4
Subaru,non-USA,130,4
Suzuki,non-USA,70,3
Toyota,non-USA,82,4
Toyota,non-USA,135,4
Toyota,non-USA,130,4
Volkswagen,non-USA,81,4
Volkswagen,non-USA,134,4
Volkswagen,non-USA,178,4
Volvo,non-USA,114,6
Volvo,non-USA,168,5
